metric,value
accuracy,0.9738997904362736
balanced_accuracy,0.9746730936483128
cohen_kappa,0.9645405797646003
mcc,0.9649171815760514
log_loss,0.16497260332107544
error_rate,0.026100209563726384
num_samples,5249
f1_macro,0.9748113072830885
precision_macro,0.9759003567151167
recall_macro,0.9746730936483128
f1_weighted,0.9739119727202923
precision_weighted,0.9749510800085565
recall_weighted,0.9738997904362736
glioma_f1,0.9630188679245283
glioma_precision,0.9375459221160911
glioma_recall,0.9899146625290923
glioma_iou,0.928675400284362
glioma_dice,0.9630188679245283
meningioma_f1,0.9822816288467516
meningioma_precision,0.9705159705159705
meningioma_recall,0.9943360604153556
meningioma_iou,0.9651802076911108
meningioma_dice,0.9822816288467516
notumor_f1,0.9856697819314642
notumor_precision,0.9962216624685138
notumor_recall,0.9753390875462392
notumor_iou,0.9717444717325339
notumor_dice,0.9856697819314642
pituitary_f1,0.9682749504296101
pituitary_precision,0.9993178717598908
pituitary_recall,0.9391025641025641
pituitary_iou,0.9385009609164735
pituitary_dice,0.9682749504296101
auc_roc,0.9976153018205751
auc_pr_macro,0.9935439624224517
